"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"159,""A000575582"",""2017-09-01T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"160,""A000575619"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"161,""A000575600"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"162,""A000575598"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"163,""A000575599"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"164,""A000575620"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"165,""A000575611"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"166,""A000575610"",""2017-09-04T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"167,""A000575621"",""2017-09-05T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"168,""A000575618"",""2017-09-05T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"169,""A000575624"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"170,""A000575635"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""CON HERIDOS"""
"171,""A000575622"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"172,""A000575628"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"173,""A000575612"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"174,""A000575625"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""CON HERIDOS"""
"175,""A000575630"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"176,""A000575634"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""CON HERIDOS"""
"177,""A000575629"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""CON HERIDOS"""
"178,""A000575614"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"179,""A000575613"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"180,""A000575623"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""SOLO DAÑOS"""
"181,""A000575617"",""2017-09-06T00:00:00.000"",""2017"",""9"",""miércoles"",""CON HERIDOS"""
"182,""A000575626"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""SOLO DAÑOS"""
"183,""A000575638"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""SOLO DAÑOS"""
"184,""A000575627"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""SOLO DAÑOS"""
"185,""A000575637"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""SOLO DAÑOS"""
"186,""A000575636"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""SOLO DAÑOS"""
"187,""A000575632"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""CON HERIDOS"""
