"RADICADO,""FECHA 1"",""HORA"",""DÍA DE LA SEMANA"",""CLASE"",""DIRECCIÓN"",""GRAVEDAD"",""BARRIO"",""DISEÑO"""
"3.656,""2004-04-09"",""12:20:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.657,""2004-04-13"",""4:55:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.658,""2004-01-01"",""4:45:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.659,""2004-04-01"",""12:00:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""LOTE O PREDIO"""
"3.660,""2004-04-06"",""5:30:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.661,""2004-04-13"",""3:15:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"3.662,""2004-04-01"",""12:00:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""VIA PEATONAL"""
"3.663,""2004-04-05"",""9:00:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.664,""2004-04-15"",""6:30:00"",""JUEVES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"3.665,""2004-04-02"",""9:15:00"",""VIERNES"",""OTRO"",""SIN INFORMACION"",""DAÑOS"",""CONSUMO"",""INTERSECCION"""
"3.666,""2004-04-16"",""3:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.667,""2004-04-29"",""12:40:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.668,""2004-04-02"",""4:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.669,""2004-04-04"",""2:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.670,""2004-04-29"",""11:00:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.671,""2004-04-30"",""5:00:00"",""VIERNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.672,""2004-04-04"",""8:10:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.673,""2004-04-02"",""9:40:00"",""VIERNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""BELLAVISTA"",""TRAMO DE VIA"""
"3.674,""2004-04-03"",""11:00:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.675,""2004-04-03"",""1:00:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"3.676,""2004-04-03"",""7:50:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.677,""2004-04-17"",""11:20:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.678,""2004-04-18"",""5:25:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.679,""2004-04-22"",""4:40:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.680,""2004-04-23"",""8:00:00"",""VIERNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"3.681,""2004-04-03"",""8:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"3.682,""2004-04-23"",""12:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.683,""2004-04-03"",""8:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.684,""2004-04-03"",""7:50:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.685,""2004-04-04"",""6:50:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.686,""2004-04-23"",""6:05:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.687,""2004-04-30"",""12:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""LA RAYA"",""TRAMO DE VIA"""
"3.688,""2004-04-18"",""9:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.689,""2004-04-24"",""11:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.690,""2004-04-18"",""8:10:00"",""DOMINGO"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.691,""2004-04-24"",""12:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.692,""2004-04-19"",""1:15:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.693,""2004-04-26"",""12:30:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.694,""2004-04-21"",""3:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.695,""2004-04-27"",""7:30:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.696,""2004-04-28"",""7:40:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.697,""2004-04-21"",""6:20:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"3.698,""2004-04-22"",""8:30:00"",""JUEVES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.699,""2004-05-01"",""11:20:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.700,""2004-05-08"",""7:50:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.701,""2004-05-02"",""4:50:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""SIN INFORMACION"""
"3.702,""2004-05-09"",""6:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.703,""2004-05-02"",""2:45:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.704,""2004-05-02"",""2:00:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.705,""2004-05-09"",""12:40:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.706,""2004-05-02"",""12:50:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.707,""2004-05-21"",""4:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.708,""2004-05-03"",""7:00:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.709,""2004-05-12"",""6:20:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"3.710,""2004-05-05"",""5:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.711,""2004-05-06"",""1:20:00"",""JUEVES"",""VOLCAMIENTO"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.712,""2004-05-21"",""11:10:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.713,""2004-05-12"",""1:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.714,""2004-05-06"",""6:40:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.715,""2004-05-21"",""11:30:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.716,""2004-05-07"",""6:50:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.717,""2004-05-13"",""2:30:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""SIN INFORMACION"""
"3.718,""2004-05-22"",""8:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.719,""2004-05-15"",""8:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""LA RAYA"",""SIN INFORMACION"""
"3.720,""2004-05-14"",""2:30:00"",""VIERNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""SINIFANA"",""SIN INFORMACION"""
"3.721,""2004-05-27"",""4:45:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.722,""2004-05-22"",""5:00:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.723,""2004-05-16"",""12:20:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA MIEL"",""SIN INFORMACION"""
"3.724,""2004-05-14"",""9:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LAS MARGARITAS"",""INTERSECCION"""
"3.725,""2004-05-23"",""2:40:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.726,""2004-05-29"",""9:00:00"",""SABADO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.727,""2004-05-16"",""2:40:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.728,""2004-05-16"",""9:00:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.729,""2004-05-23"",""10:00:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.730,""2004-05-15"",""9:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.731,""2004-05-15"",""10:40:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.732,""2004-05-28"",""3:00:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA CHUSCALA"",""TRAMO DE VIA"""
"3.733,""2004-05-29"",""5:50:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.734,""2004-05-17"",""12:00:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""SALINAS"",""TRAMO DE VIA"""
"3.735,""2004-05-23"",""7:40:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.736,""2004-05-18"",""8:35:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.737,""2004-05-31"",""9:50:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""CRISTO REY"",""SIN INFORMACION"""
"3.738,""2004-05-25"",""8:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.739,""2004-05-20"",""4:50:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.740,""2004-05-26"",""6:50:00"",""MIERCOLES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.741,""2004-05-20"",""8:00:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.742,""2004-05-20"",""12:40:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.743,""2004-05-29"",""6:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA MIEL"",""INTERSECCION"""
"3.744,""2004-05-20"",""4:00:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.745,""2004-05-26"",""12:15:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.746,""2004-05-29"",""10:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.747,""2004-05-30"",""3:00:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.748,""2004-05-31"",""9:10:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.749,""2004-06-01"",""6:40:00"",""MARTES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"3.750,""2004-06-01"",""6:30:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.751,""2004-06-14"",""9:00:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA SALADA"",""TRAMO DE VIA"""
"3.752,""2004-06-01"",""4:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.753,""2004-06-04"",""2:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"3.754,""2004-06-08"",""5:00:00"",""MARTES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""PARQUE LA LOCERIA"",""TRAMO DE VIA"""
"3.755,""2004-06-04"",""4:40:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.756,""2004-06-09"",""7:30:00"",""MIERCOLES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""SIN INFORMACION"""
"3.757,""2004-06-09"",""9:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""HOSPITAL"",""TRAMO DE VIA"""
"3.758,""2004-06-04"",""11:50:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""SIN INFORMACION"""
"3.759,""2004-06-14"",""8:40:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.760,""2004-06-09"",""8:40:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CRISTO REY"",""TRAMO DE VIA"""
"3.761,""2004-06-04"",""7:45:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.762,""2004-06-16"",""1:50:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.763,""2004-06-05"",""4:30:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""LA SALADA"",""SIN INFORMACION"""
"3.764,""2004-06-06"",""11:35:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.765,""2004-06-07"",""2:20:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.766,""2004-06-17"",""5:15:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.767,""2004-06-10"",""6:40:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""INTERSECCION"""
"3.768,""2004-06-07"",""2:15:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.769,""2004-06-18"",""1:40:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.770,""2004-06-10"",""3:40:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.771,""2004-06-08"",""4:30:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.772,""2004-06-08"",""4:50:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.773,""2004-06-11"",""11:00:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""ANDA LUCIA"",""TRAMO DE VIA"""
"3.774,""2004-06-19"",""9:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.775,""2004-06-22"",""5:40:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.776,""2004-06-11"",""8:00:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.777,""2004-06-25"",""10:50:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.778,""2004-06-19"",""8:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.779,""2004-06-26"",""11:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.780,""2004-06-11"",""3:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""OLAYA HERRERA"",""INTERSECCION"""
"3.781,""2004-06-26"",""7:40:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.782,""2004-06-19"",""10:35:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.783,""2004-06-27"",""4:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""SINIFANA"",""TRAMO DE VIA"""
"3.784,""2004-06-27"",""6:50:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.785,""2004-06-12"",""8:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""LA VALERIA"",""TRAMO DE VIA"""
"3.786,""2004-06-27"",""8:40:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.787,""2004-06-12"",""3:20:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""SIN INFORMACION"""
"3.788,""2004-06-28"",""3:40:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.789,""2004-06-28"",""6:10:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA INMACULADA"",""TRAMO DE VIA"""
"3.790,""2004-06-20"",""3:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.791,""2004-06-14"",""2:30:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"3.792,""2004-06-28"",""12:10:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.793,""2004-06-30"",""4:20:00"",""MIERCOLES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.794,""2004-06-30"",""2:55:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.795,""2004-06-21"",""7:30:00"",""LUNES"",""OTRO"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.796,""2004-06-21"",""8:00:00"",""LUNES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.797,""2004-07-01"",""2:20:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""INTERSECCION"""
"3.798,""2004-07-02"",""7:20:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.799,""2004-07-02"",""9:10:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"3.800,""2004-07-18"",""2:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.801,""2004-07-05"",""2:30:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.802,""2004-07-03"",""12:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"3.803,""2004-07-18"",""10:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.804,""2004-07-06"",""2:17:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""SALINAS"",""TRAMO DE VIA"""
"3.805,""2004-07-09"",""4:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""EL RAIZAL"",""SIN INFORMACION"""
"3.806,""2004-07-10"",""10:40:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA CORRALITA"",""TRAMO DE VIA"""
"3.807,""2004-07-19"",""8:45:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.808,""2004-07-06"",""8:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.809,""2004-07-09"",""8:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"3.810,""2004-07-07"",""3:10:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.811,""2004-07-10"",""2:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.812,""2004-07-21"",""10:30:00"",""MIERCOLES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.813,""2004-07-11"",""11:35:00"",""DOMINGO"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.814,""2004-07-10"",""10:10:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"3.815,""2004-07-11"",""6:20:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.816,""2004-07-07"",""1:20:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.817,""2004-07-18"",""10:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.818,""2004-07-10"",""6:00:00"",""SABADO"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
